Tempo, CFL maximo, Elemento de CFL maximo, Pecle maximo, Elemento de Pecle maximo,
 0.1350E+004 0.1520E+001   590 0.1069E-001   590
 0.1400E+004 0.1525E+001   690 0.1072E-001   690
 0.1400E+004 0.1525E+001   690 0.1072E-001   690
 0.1400E+004 0.1525E+001   690 0.1072E-001   690
 0.1400E+004 0.1525E+001   690 0.1072E-001   690
 0.1450E+004 0.1530E+001   690 0.1076E-001   690
 0.1450E+004 0.1530E+001   690 0.1076E-001   690
 0.1450E+004 0.1530E+001   690 0.1076E-001   690
 0.1450E+004 0.1530E+001   690 0.1076E-001   690
 0.1500E+004 0.1535E+001   690 0.1079E-001   690
 0.1500E+004 0.1535E+001   690 0.1079E-001   690
 0.1500E+004 0.1535E+001   690 0.1079E-001   690
 0.1500E+004 0.1535E+001   690 0.1079E-001   690
 0.1550E+004 0.1540E+001   690 0.1083E-001   690
 0.1550E+004 0.1540E+001   690 0.1083E-001   690
 0.1550E+004 0.1540E+001   690 0.1083E-001   690
 0.1550E+004 0.1540E+001   690 0.1083E-001   690
 0.1600E+004 0.1545E+001   690 0.1086E-001   690
 0.1600E+004 0.1545E+001   690 0.1086E-001   690
 0.1600E+004 0.1545E+001   690 0.1086E-001   690
 0.1600E+004 0.1545E+001   690 0.1086E-001   690
 0.1650E+004 0.1549E+001   690 0.1089E-001   690
 0.1650E+004 0.1549E+001   690 0.1089E-001   690
 0.1650E+004 0.1549E+001   690 0.1089E-001   690
 0.1650E+004 0.1549E+001   690 0.1089E-001   690
 0.1700E+004 0.1554E+001   690 0.1093E-001   690
 0.1700E+004 0.1554E+001   690 0.1093E-001   690
 0.1700E+004 0.1554E+001   690 0.1093E-001   690
 0.1700E+004 0.1554E+001   690 0.1093E-001   690
 0.1750E+004 0.1558E+001   690 0.1096E-001   690
 0.1750E+004 0.1558E+001   690 0.1096E-001   690
 0.1750E+004 0.1558E+001   690 0.1096E-001   690
 0.1750E+004 0.1558E+001   690 0.1096E-001   690
 0.1800E+004 0.1563E+001   690 0.1099E-001   690
